AISC MANUAL LABEL,TYPE,Weight,Area,Depth,Height,Outer Diameter,bf,B,ID,tw,tf,T,TNOM,TDES,Kdes,Kdet,K1,X,Y,E0,XP,YP,bf/2tf,B_T,h/t,H_T,D_T,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,rz,J,Cw,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
,,lbs,in2,in,in,in,in,in,in,in,in,,in,in,in,in,IN,,,,,,,,,,,in4,in3,in3,in,in4,in3,in3,in,in,in4,in6,,,,,,,,,
L6X6X5/8,L,24.2,7.13,6.00,,,,6,,,,0.625,,,1.13,1.125,,1.72,1.72,0.594,0.594,0.594,,,,,,24.1,10.1,5.64,1.84,24.1,10.1,5.64,1.84,1.17,0.955,2.50,,,,,,3.28,0.630,1.00,1.00
L6X6X9/16,L,21.9,6.45,6.00,,,,6,,,,0.5625,,,1.06,1.0625,,1.70,1.70,0.538,0.538,0.538,,,,,,22.0,9.18,5.12,1.85,22.0,9.17,5.12,1.85,1.18,0.704,1.85,,,,,,3.29,0.630,1.00,1.00
L6X6X1/2,L,19.6,5.77,6.00,,,,6,,,,0.5,,,1.00,1,,1.67,1.67,0.481,0.481,0.481,,,,,,19.9,8.22,4.59,1.86,19.9,8.22,4.59,1.86,1.18,0.501,1.32,,,,,,3.31,0.630,1.00,1.00
L6X6X7/16,L,17.2,5.08,6.00,,,,6,,,,0.4375,,,0.938,0.9375,,1.65,1.65,0.423,0.423,0.423,,,,,,17.6,7.25,4.06,1.86,17.6,7.25,4.06,1.86,1.18,0.340,0.899,,,,,,3.32,0.630,1.00,0.970
L6X6X3/8,L,14.9,4.38,6.00,,,,6,,,,0.375,,,0.875,0.875,,1.62,1.62,0.365,0.365,0.365,,,,,,15.4,6.27,3.51,1.87,15.4,6.26,3.51,1.87,1.19,0.218,0.575,,,,,,3.34,0.630,1.00,0.910
L6X6X5/16,L,12.4,3.67,6.00,,,,6,,,,0.3125,,,0.813,0.8125,,1.60,1.60,0.306,0.306,0.306,,,,,,13.0,5.26,2.95,1.88,13.0,5.26,2.95,1.88,1.19,0.129,0.338,,,,,,3.35,0.630,1.00,0.830
L6X4X7/8,L,27.2,7.98,6.00,,,,4,,,,0.875,,,1.38,1.375,,1.12,2.12,0.665,0.665,1.44,,,,,,27.7,12.7,7.13,1.86,9.70,6.26,3.37,1.10,0.854,2.03,4.04,3.14,,,,,2.82,,0.421,1.00
L6X4X3/4,L,23.6,6.94,6.00,,,,4,,,,0.75,,,1.25,1.25,,1.07,2.07,0.578,0.578,1.38,,,,,,24.5,11.1,6.23,1.88,8.63,5.42,2.95,1.12,0.856,1.31,2.64,3.14,,,,,2.85,,0.428,1.00
L6X4X5/8,L,20.0,5.86,6.00,,,,4,,,,0.625,,,1.13,1.125,,1.03,2.03,0.488,0.488,1.31,,,,,,21.0,9.44,5.29,1.89,7.48,4.56,2.52,1.13,0.859,0.775,1.59,3.14,,,,,2.88,,0.435,1.00
L6X4X9/16,L,18.1,5.31,6.00,,,,4,,,,0.5625,,,1.06,1.0625,,1.00,2.00,0.442,0.442,1.28,,,,,,19.2,8.59,4.81,1.90,6.86,4.13,2.29,1.14,0.861,0.572,1.18,3.14,,,,,2.90,,0.438,1.00
L6X4X1/2,L,16.2,4.75,6.00,,,,4,,,,0.5,,,1.00,1,,0.981,1.98,0.396,0.396,1.25,,,,,,17.3,7.71,4.31,1.91,6.22,3.69,2.06,1.14,0.864,0.407,0.843,3.14,,,,,2.91,,0.440,1.00
L6X4X7/16,L,14.3,4.18,6.00,,,,4,,,,0.4375,,,0.938,0.9375,,0.957,1.95,0.349,0.349,1.22,,,,,,15.4,6.81,3.81,1.92,5.56,3.24,1.83,1.15,0.867,0.276,0.575,3.14,,,,,2.93,,0.443,0.970
L6X4X3/8,L,12.3,3.61,6.00,,,,4,,,,0.375,,,0.875,0.875,,0.933,1.93,0.301,0.301,1.19,,,,,,13.4,5.89,3.30,1.93,4.86,2.79,1.58,1.16,0.870,0.177,0.369,3.14,,,,,2.94,,0.446,0.910
L6X4X5/16,L,10.3,3.03,6.00,,,,4,,,,0.3125,,,0.813,0.8125,,0.908,1.90,0.252,0.252,1.16,,,,,,11.4,4.96,2.77,1.94,4.13,2.33,1.34,1.17,0.874,0.104,0.217,3.14,,,,,2.96,,0.449,0.830
L6X3-1/2X1/2,L,15.3,4.50,6.00,,,,3.5,,,,0.5,,,1.00,1,,0.829,2.07,0.376,0.376,1.48,,,,,,16.6,7.49,4.23,1.92,4.24,2.88,1.59,0.968,0.756,0.386,0.779,3.69,,,,,2.88,,0.343,1.00
L6X3-1/2X3/8,L,11.7,3.42,6.00,,,,3.5,,,,0.375,,,0.875,0.875,,0.781,2.02,0.287,0.287,1.41,,,,,,12.9,5.74,3.23,1.93,3.33,2.18,1.22,0.984,0.763,0.168,0.341,3.69,,,,,2.90,,0.349,0.910
L6X3-1/2X5/16,L,9.80,2.87,6.00,,,,3.5,,,,0.3125,,,0.813,0.8125,,0.756,2.00,0.241,0.241,1.38,,,,,,10.9,4.84,2.72,1.94,2.84,1.82,1.03,0.991,0.767,0.0990,0.201,3.69,,,,,2.92,,0.352,0.830
L5X5X7/8,L,27.2,7.98,5.00,,,,5,,,,0.875,,,1.38,1.375,,1.56,1.56,0.802,0.802,0.802,,,,,,17.8,9.31,5.16,1.49,17.8,9.30,5.16,1.49,0.971,2.07,3.53,,,,,,2.64,0.640,1.00,1.00
L5X5X3/4,L,23.6,6.94,5.00,,,,5,,,,0.75,,,1.25,1.25,,1.52,1.52,0.698,0.698,0.698,,,,,,15.7,8.14,4.52,1.50,15.7,8.14,4.52,1.50,0.972,1.33,2.32,,,,,,2.67,0.630,1.00,1.00
L5X5X5/8,L,20.0,5.86,5.00,,,,5,,,,0.625,,,1.13,1.125,,1.47,1.47,0.590,0.590,0.590,,,,,,13.6,6.93,3.85,1.52,13.6,6.92,3.85,1.52,0.975,0.792,1.40,,,,,,2.70,0.630,1.00,1.00
L5X5X1/2,L,16.2,4.75,5.00,,,,5,,,,0.5,,,1.00,1,,1.42,1.42,0.479,0.479,0.479,,,,,,11.3,5.66,3.15,1.53,11.3,5.66,3.15,1.53,0.980,0.417,0.744,,,,,,2.73,0.630,1.00,1.00
L5X5X7/16,L,14.3,4.18,5.00,,,,5,,,,0.4375,,,0.938,0.9375,,1.40,1.40,0.422,0.422,0.422,,,,,,10.0,5.00,2.78,1.54,10.0,5.00,2.78,1.54,0.983,0.284,0.508,,,,,,2.74,0.630,1.00,1.00
L5X5X3/8,L,12.3,3.61,5.00,,,,5,,,,0.375,,,0.875,0.875,,1.37,1.37,0.365,0.365,0.365,,,,,,8.76,4.33,2.41,1.55,8.76,4.33,2.41,1.55,0.986,0.183,0.327,,,,,,2.76,0.630,1.00,0.980
L5X5X5/16,L,10.3,3.03,5.00,,,,5,,,,0.3125,,,0.813,0.8125,,1.35,1.35,0.307,0.307,0.307,,,,,,7.44,3.65,2.04,1.56,7.44,3.65,2.04,1.56,0.990,0.108,0.193,,,,,,2.77,0.630,1.00,0.910
L5X3-1/2X3/4,L,19.8,5.81,5.00,,,,3.5,,,,0.75,,,1.19,1.1875,,0.993,1.74,0.582,0.582,1.12,,,,,,13.9,7.60,4.26,1.55,5.52,4.07,2.20,0.974,0.744,1.09,1.52,2.40,,,,,2.36,,0.464,1.00
L5X3-1/2X5/8,L,16.8,4.92,5.00,,,,3.5,,,,0.625,,,1.06,1.0625,,0.947,1.69,0.493,0.493,1.06,,,,,,12.0,6.50,3.63,1.56,4.80,3.43,1.88,0.987,0.746,0.651,0.918,2.40,,,,,2.39,,0.472,1.00
L5X3-1/2X1/2,L,13.6,4.00,5.00,,,,3.5,,,,0.5,,,0.938,0.9375,,0.901,1.65,0.400,0.400,0.997,,,,,,10.0,5.33,2.97,1.58,4.02,2.79,1.55,1.00,0.750,0.343,0.491,2.40,,,,,2.42,,0.479,1.00
L5X3-1/2X3/8,L,10.4,3.05,5.00,,,,3.5,,,,0.375,,,0.813,0.8125,,0.854,1.60,0.305,0.305,0.933,,,,,,7.75,4.09,2.28,1.59,3.15,2.12,1.19,1.02,0.755,0.150,0.217,2.40,,,,,2.45,,0.485,0.980
L5X3-1/2X5/16,L,8.70,2.56,5.00,,,,3.5,,,,0.3125,,,0.750,0.75,,0.829,1.57,0.256,0.256,0.901,,,,,,6.58,3.45,1.92,1.60,2.69,1.77,1.01,1.02,0.758,0.0883,0.128,2.40,,,,,2.47,,0.489,0.910
L5X3-1/2X1/4,L,7.00,2.06,5.00,,,,3.5,,,,0.25,,,0.688,0.6875,,0.804,1.55,0.207,0.207,0.868,,,,,,5.36,2.78,1.55,1.61,2.20,1.42,0.816,1.03,0.761,0.0464,0.0670,2.40,,,,,2.48,,0.491,0.800
L5X3X1/2,L,12.8,3.75,5.00,,,,3,,,,0.5,,,0.938,0.9375,,0.746,1.74,0.375,0.375,1.25,,,,,,9.43,5.12,2.89,1.58,2.55,2.08,1.13,0.824,0.642,0.322,0.444,2.99,,,,,2.38,,0.357,1.00
L5X3X7/16,L,11.3,3.31,5.00,,,,3,,,,0.4375,,,0.875,0.875,,0.722,1.72,0.331,0.331,1.21,,,,,,8.41,4.53,2.56,1.59,2.29,1.82,1.00,0.831,0.644,0.220,0.304,2.99,,,,,2.39,,0.361,1.00
L5X3X3/8,L,9.80,2.86,5.00,,,,3,,,,0.375,,,0.813,0.8125,,0.698,1.69,0.286,0.286,1.18,,,,,,7.35,3.93,2.22,1.60,2.01,1.57,0.874,0.838,0.646,0.141,0.196,2.99,,,,,2.41,,0.364,0.980
L5X3X5/16,L,8.20,2.40,5.00,,,,3,,,,0.3125,,,0.750,0.75,,0.673,1.67,0.241,0.241,1.15,,,,,,6.24,3.32,1.87,1.61,1.72,1.31,0.739,0.846,0.649,0.0832,0.116,2.99,,,,,2.42,,0.368,0.910
L5X3X1/4,L,6.60,1.94,5.00,,,,3,,,,0.25,,,0.688,0.6875,,0.648,1.64,0.194,0.194,1.12,,,,,,5.09,2.68,1.51,1.62,1.41,1.05,0.600,0.853,0.652,0.0438,0.0606,2.99,,,,,2.43,,0.371,0.800
L4X4X3/4,L,18.5,5.44,4.00,,,,4,,,,0.75,,,1.13,1.125,,1.27,1.27,0.679,0.679,0.679,,,,,,7.62,5.02,2.79,1.18,7.62,5.01,2.79,1.18,0.774,1.02,1.12,,,,,,2.10,0.640,1.00,1.00
L4X4X5/8,L,15.7,4.61,4.00,,,,4,,,,0.625,,,1.00,1,,1.22,1.22,0.576,0.576,0.576,,,,,,6.62,4.28,2.38,1.20,6.62,4.28,2.38,1.20,0.774,0.610,0.680,,,,,,2.13,0.630,1.00,1.00
L4X4X1/2,L,12.8,3.75,4.00,,,,4,,,,0.5,,,0.875,0.875,,1.18,1.18,0.468,0.468,0.468,,,,,,5.52,3.50,1.96,1.21,5.52,3.50,1.96,1.21,0.776,0.322,0.366,,,,,,2.16,0.630,1.00,1.00
L4X4X7/16,L,11.3,3.31,4.00,,,,4,,,,0.4375,,,0.813,0.8125,,1.15,1.15,0.413,0.413,0.413,,,,,,4.93,3.10,1.73,1.22,4.93,3.10,1.73,1.22,0.777,0.220,0.252,,,,,,2.18,0.630,1.00,1.00
L4X4X3/8,L,9.80,2.86,4.00,,,,4,,,,0.375,,,0.750,0.75,,1.13,1.13,0.357,0.357,0.357,,,,,,4.32,2.69,1.50,1.23,4.32,2.68,1.50,1.23,0.779,0.141,0.162,,,,,,2.19,0.630,1.00,1.00
L4X4X5/16,L,8.20,2.40,4.00,,,,4,,,,0.3125,,,0.688,0.6875,,1.11,1.11,0.300,0.300,0.300,,,,,,3.67,2.26,1.27,1.24,3.67,2.26,1.27,1.24,0.781,0.0832,0.0963,,,,,,2.21,0.630,1.00,1.00
L4X4X1/4,L,6.60,1.94,4.00,,,,4,,,,0.25,,,0.625,0.625,,1.08,1.08,0.242,0.242,0.242,,,,,,3.00,1.82,1.03,1.25,3.00,1.82,1.03,1.25,0.783,0.0438,0.0505,,,,,,2.22,0.630,1.00,0.910
L4X3-1/2X1/2,L,11.9,3.50,4.00,,,,3.5,,,,0.5,,,0.875,0.875,,0.994,1.24,0.438,0.438,0.497,,,,,,5.30,3.46,1.92,1.23,3.76,2.69,1.50,1.04,0.716,0.301,0.302,0.87,,,,,2.03,,0.750,1.00
L4X3-1/2X3/8,L,9.10,2.67,4.00,,,,3.5,,,,0.375,,,0.750,0.75,,0.947,1.20,0.334,0.334,0.433,,,,,,4.15,2.66,1.48,1.25,2.96,2.06,1.16,1.05,0.719,0.132,0.134,0.87,,,,,2.06,,0.755,1.00
L4X3-1/2X5/16,L,7.70,2.25,4.00,,,,3.5,,,,0.3125,,,0.688,0.6875,,0.923,1.17,0.281,0.281,0.401,,,,,,3.53,2.24,1.25,1.25,2.52,1.74,0.980,1.06,0.721,0.0782,0.0798,0.87,,,,,2.08,,0.757,1.00
L4X3-1/2X1/4,L,6.20,1.81,4.00,,,,3.5,,,,0.25,,,0.625,0.625,,0.897,1.14,0.227,0.227,0.368,,,,,,2.89,1.81,1.01,1.26,2.07,1.40,0.794,1.07,0.723,0.0412,0.0419,0.87,,,,,2.09,,0.759,0.910
L4X3X5/8,L,13.6,3.89,4.00,,,,3,,,,0.625,,,1.00,1,,0.867,1.37,0.498,0.498,0.810,,,,,,6.01,4.08,2.28,1.23,2.85,2.45,1.34,0.845,0.631,0.529,0.472,1.65,,,,,1.91,,0.534,1.00
L4X3X1/2,L,11.1,3.25,4.00,,,,3,,,,0.5,,,0.875,0.875,,0.822,1.32,0.407,0.407,0.747,,,,,,5.02,3.36,1.87,1.24,2.40,1.99,1.10,0.858,0.633,0.281,0.255,1.65,,,,,1.94,,0.542,1.00
L4X3X3/8,L,8.50,2.48,4.00,,,,3,,,,0.375,,,0.750,0.75,,0.775,1.27,0.311,0.311,0.683,,,,,,3.94,2.60,1.44,1.26,1.89,1.52,0.851,0.873,0.636,0.123,0.114,1.65,,,,,1.97,,0.551,1.00
L4X3X5/16,L,7.20,2.09,4.00,,,,3,,,,0.3125,,,0.688,0.6875,,0.750,1.25,0.262,0.262,0.651,,,,,,3.36,2.19,1.22,1.27,1.62,1.28,0.721,0.880,0.638,0.0731,0.0676,1.65,,,,,1.98,,0.554,1.00
L4X3X1/4,L,5.80,1.69,4.00,,,,3,,,,0.25,,,0.625,0.625,,0.725,1.22,0.211,0.211,0.618,,,,,,2.75,1.77,0.988,1.27,1.33,1.03,0.585,0.887,0.639,0.0386,0.0356,1.65,,,,,1.99,,0.558,0.910
L3-1/2X3-1/2X1/2,L,11.1,3.25,3.50,,,,3.5,,,,0.5,,,0.875,0.875,,1.05,1.05,0.466,0.466,0.466,,,,,,3.63,2.66,1.48,1.05,3.63,2.66,1.48,1.05,0.679,0.281,0.238,,,,,,1.87,0.630,1.00,1.00
L3-1/2X3-1/2X7/16,L,9.80,2.87,3.50,,,,3.5,,,,0.4375,,,0.813,0.8125,,1.03,1.03,0.412,0.412,0.412,,,,,,3.25,2.36,1.32,1.06,3.25,2.36,1.32,1.06,0.681,0.192,0.164,,,,,,1.89,0.630,1.00,1.00
L3-1/2X3-1/2X3/8,L,8.50,2.48,3.50,,,,3.5,,,,0.375,,,0.750,0.75,,1.00,1.00,0.357,0.357,0.357,,,,,,2.86,2.06,1.15,1.07,2.86,2.05,1.15,1.07,0.683,0.123,0.106,,,,,,1.90,0.630,1.00,1.00
L3-1/2X3-1/2X5/16,L,7.20,2.09,3.50,,,,3.5,,,,0.3125,,,0.688,0.6875,,0.979,0.979,0.301,0.301,0.301,,,,,,2.44,1.74,0.969,1.08,2.44,1.74,0.969,1.08,0.685,0.0731,0.0634,,,,,,1.92,0.630,1.00,1.00
L3-1/2X3-1/2X1/4,L,5.80,1.69,3.50,,,,3.5,,,,0.25,,,0.625,0.625,,0.954,0.954,0.243,0.243,0.243,,,,,,2.00,1.41,0.787,1.09,2.00,1.41,0.787,1.09,0.688,0.0386,0.0334,,,,,,1.93,0.630,1.00,0.970
L3-1/2X3X1/2,L,10.2,3.00,3.50,,,,3,,,,0.5,,,0.875,0.875,,0.869,1.12,0.431,0.431,0.480,,,,,,3.45,2.61,1.45,1.07,2.32,1.97,1.09,0.877,0.618,0.260,0.191,0.87,,,,,1.75,,0.713,1.00
L3-1/2X3X7/16,L,9.10,2.65,3.50,,,,3,,,,0.4375,,,0.813,0.8125,,0.846,1.09,0.382,0.382,0.446,,,,,,3.10,2.32,1.29,1.08,2.09,1.75,0.971,0.885,0.620,0.178,0.132,0.87,,,,,1.76,,0.717,1.00
L3-1/2X3X3/8,L,7.90,2.30,3.50,,,,3,,,,0.375,,,0.750,0.75,,0.823,1.07,0.331,0.331,0.411,,,,,,2.73,2.03,1.12,1.09,1.84,1.52,0.847,0.892,0.622,0.114,0.0858,0.87,,,,,1.78,,0.720,1.00
L3-1/2X3X5/16,L,6.60,1.93,3.50,,,,3,,,,0.3125,,,0.688,0.6875,,0.798,1.05,0.279,0.279,0.375,,,,,,2.33,1.72,0.951,1.09,1.58,1.28,0.718,0.900,0.624,0.0680,0.0512,0.87,,,,,1.79,,0.722,1.00
L3-1/2X3X1/4,L,5.40,1.56,3.50,,,,3,,,,0.25,,,0.625,0.625,,0.773,1.02,0.226,0.226,0.336,,,,,,1.92,1.39,0.773,1.10,1.30,1.04,0.585,0.908,0.628,0.0360,0.0270,0.87,,,,,1.80,,0.725,0.970
L3-1/2X2-1/2X1/2,L,9.40,2.75,3.50,,,,2.5,,,,0.5,,,0.875,0.875,,0.701,1.20,0.395,0.395,0.736,,,,,,3.24,2.52,1.41,1.08,1.36,1.39,0.756,0.701,0.532,0.234,0.159,1.62,,,,,1.66,,0.485,1.00
L3-1/2X2-1/2X3/8,L,7.20,2.11,3.50,,,,2.5,,,,0.375,,,0.750,0.75,,0.655,1.15,0.303,0.303,0.668,,,,,,2.56,1.96,1.09,1.10,1.09,1.07,0.589,0.716,0.535,0.103,0.0714,1.62,,,,,1.69,,0.495,1.00
L3-1/2X2-1/2X5/16,L,6.10,1.78,3.50,,,,2.5,,,,0.3125,,,0.688,0.6875,,0.632,1.13,0.256,0.256,0.633,,,,,,2.20,1.67,0.925,1.11,0.937,0.900,0.501,0.723,0.538,0.0611,0.0426,1.62,,,,,1.71,,0.500,1.00
L3-1/2X2-1/2X1/4,L,4.90,1.44,3.50,,,,2.5,,,,0.25,,,0.625,0.625,,0.607,1.10,0.207,0.207,0.596,,,,,,1.81,1.36,0.753,1.12,0.775,0.728,0.410,0.731,0.541,0.0322,0.0225,1.62,,,,,1.72,,0.504,0.970
L3X3X1/2,L,9.40,2.75,3.00,,,,3,,,,0.5,,,0.875,0.875,,0.929,0.929,0.458,0.458,0.458,,,,,,2.20,1.91,1.06,0.895,2.20,1.91,1.06,0.895,0.580,0.230,0.144,,,,,,1.59,0.630,1.00,1.00
L3X3X7/16,L,8.30,2.43,3.00,,,,3,,,,0.4375,,,0.813,0.8125,,0.907,0.907,0.405,0.405,0.405,,,,,,1.98,1.70,0.946,0.903,1.98,1.70,0.946,0.903,0.580,0.157,0.100,,,,,,1.60,0.630,1.00,1.00
L3X3X3/8,L,7.20,2.11,3.00,,,,3,,,,0.375,,,0.750,0.75,,0.884,0.884,0.351,0.351,0.351,,,,,,1.75,1.48,0.825,0.910,1.75,1.48,0.825,0.910,0.581,0.101,0.0652,,,,,,1.62,0.630,1.00,1.00
L3X3X5/16,L,6.10,1.78,3.00,,,,3,,,,0.3125,,,0.688,0.6875,,0.860,0.860,0.296,0.296,0.296,,,,,,1.50,1.26,0.699,0.918,1.50,1.25,0.699,0.918,0.583,0.0597,0.0390,,,,,,1.64,0.630,1.00,1.00
L3X3X1/4,L,4.90,1.44,3.00,,,,3,,,,0.25,,,0.625,0.625,,0.836,0.836,0.239,0.239,0.239,,,,,,1.23,1.02,0.569,0.926,1.23,1.02,0.569,0.926,0.585,0.0313,0.0206,,,,,,1.65,0.630,1.00,1.00
L3X3X3/16,L,3.71,1.09,3.00,,,,3,,,,0.1875,,,0.563,0.5625,,0.812,0.812,0.181,0.181,0.181,,,,,,0.948,0.774,0.433,0.933,0.948,0.774,0.433,0.933,0.586,0.0136,0.00899,,,,,,1.67,0.630,1.00,0.910
L3X2-1/2X1/2,L,8.50,2.50,3.00,,,,2.5,,,,0.5,,,0.875,0.875,,0.746,0.995,0.418,0.418,0.494,,,,,,2.07,1.86,1.03,0.910,1.29,1.34,0.736,0.718,0.516,0.213,0.112,0.86,,,,,1.46,,0.666,1.00
L3X2-1/2X7/16,L,7.60,2.21,3.00,,,,2.5,,,,0.4375,,,0.813,0.8125,,0.724,0.972,0.370,0.370,0.462,,,,,,1.87,1.66,0.921,0.917,1.17,1.19,0.656,0.724,0.516,0.146,0.0777,0.86,,,,,1.48,,0.671,1.00
L3X2-1/2X3/8,L,6.60,1.92,3.00,,,,2.5,,,,0.375,,,0.750,0.75,,0.701,0.949,0.321,0.321,0.430,,,,,,1.65,1.45,0.803,0.924,1.03,1.03,0.573,0.731,0.517,0.0943,0.0507,0.86,,,,,1.49,,0.675,1.00
L3X2-1/2X5/16,L,5.60,1.67,3.00,,,,2.5,,,,0.3125,,,0.688,0.6875,,0.677,0.925,0.271,0.271,0.397,,,,,,1.41,1.23,0.681,0.932,0.888,0.873,0.487,0.739,0.518,0.0560,0.0304,0.86,,,,,1.51,,0.679,1.00
L3X2-1/2X1/4,L,4.50,1.31,3.00,,,,2.5,,,,0.25,,,0.625,0.625,,0.653,0.900,0.220,0.220,0.363,,,,,,1.16,1.00,0.555,0.940,0.734,0.707,0.397,0.746,0.520,0.0296,0.0161,0.86,,,,,1.52,,0.683,1.00
L3X2-1/2X3/16,L,3.39,0.996,3.00,,,,2.5,,,,0.1875,,,0.563,0.5625,,0.627,0.874,0.167,0.167,0.328,,,,,,0.899,0.761,0.423,0.947,0.568,0.536,0.303,0.753,0.521,0.0130,0.00705,0.86,,,,,1.54,,0.687,0.910
L3X2X1/2,L,7.70,2.25,3.00,,,,2,,,,0.5,,,0.813,0.8125,,0.580,1.08,0.377,0.377,0.736,,,,,,1.92,1.78,1.00,0.922,0.667,0.887,0.470,0.543,0.425,0.192,0.0908,1.56,,,,,1.39,,0.413,1.00
L3X2X3/8,L,5.90,1.73,3.00,,,,2,,,,0.375,,,0.688,0.6875,,0.535,1.03,0.291,0.291,0.668,,,,,,1.54,1.39,0.779,0.937,0.539,0.679,0.368,0.555,0.426,0.0855,0.0413,1.56,,,,,1.42,,0.426,1.00
L3X2X5/16,L,5.00,1.46,3.00,,,,2,,,,0.3125,,,0.625,0.625,,0.511,1.01,0.247,0.247,0.633,,,,,,1.32,1.19,0.662,0.945,0.467,0.572,0.314,0.562,0.428,0.0510,0.0248,1.56,,,,,1.43,,0.432,1.00
L3X2X1/4,L,4.10,1.19,3.00,,,,2,,,,0.25,,,0.563,0.5625,,0.487,0.980,0.200,0.200,0.596,,,,,,1.09,0.969,0.541,0.953,0.390,0.463,0.258,0.569,0.431,0.0270,0.0132,1.56,,,,,1.45,,0.437,1.00
L3X2X3/16,L,3.07,0.902,3.00,,,,2,,,,0.1875,,,0.500,0.5,,0.462,0.952,0.153,0.153,0.556,,,,,,0.847,0.743,0.414,0.961,0.305,0.351,0.198,0.577,0.435,0.0119,0.00576,1.56,,,,,1.46,,0.442,0.910
L2-1/2X2-1/2X1/2,L,7.70,2.25,2.50,,,,2.5,,,,0.5,,,0.750,0.75,,0.803,0.803,0.450,0.450,0.450,,,,,,1.22,1.29,0.716,0.735,1.22,1.29,0.716,0.735,0.481,0.188,0.0791,,,,,,1.30,0.640,1.00,1.00
L2-1/2X2-1/2X3/8,L,5.90,1.73,2.50,,,,2.5,,,,0.375,,,0.625,0.625,,0.758,0.758,0.347,0.347,0.347,,,,,,0.972,1.01,0.558,0.749,0.972,1.00,0.558,0.749,0.481,0.0833,0.0362,,,,,,1.33,0.630,1.00,1.00
L2-1/2X2-1/2X5/16,L,5.00,1.46,2.50,,,,2.5,,,,0.3125,,,0.563,0.5625,,0.735,0.735,0.293,0.293,0.293,,,,,,0.837,0.853,0.474,0.756,0.837,0.853,0.474,0.756,0.481,0.0495,0.0218,,,,,,1.35,0.630,1.00,1.00
L2-1/2X2-1/2X1/4,L,4.10,1.19,2.50,,,,2.5,,,,0.25,,,0.500,0.5,,0.711,0.711,0.237,0.237,0.237,,,,,,0.692,0.695,0.387,0.764,0.692,0.694,0.387,0.764,0.482,0.0261,0.0116,,,,,,1.36,0.630,1.00,1.00
L2-1/2X2-1/2X3/16,L,3.07,0.900,2.50,,,,2.5,,,,0.1875,,,0.438,0.4375,,0.687,0.687,0.180,0.180,0.180,,,,,,0.535,0.529,0.295,0.771,0.535,0.528,0.295,0.771,0.482,0.0114,0.00510,,,,,,1.38,0.630,1.00,0.980
L2-1/2X2X3/8,L,5.30,1.55,2.50,,,,2,,,,0.375,,,0.625,0.625,,0.578,0.826,0.311,0.311,0.425,,,,,,0.914,0.982,0.546,0.766,0.513,0.657,0.361,0.574,0.419,0.0746,0.0268,0.85,,,,,1.22,,0.612,1.00
L2-1/2X2X5/16,L,4.50,1.31,2.50,,,,2,,,,0.3125,,,0.563,0.5625,,0.555,0.803,0.264,0.264,0.391,,,,,,0.790,0.839,0.465,0.774,0.446,0.557,0.309,0.581,0.420,0.0444,0.0162,0.85,,,,,1.23,,0.618,1.00
L2-1/2X2X1/4,L,3.62,1.06,2.50,,,,2,,,,0.25,,,0.500,0.5,,0.532,0.779,0.214,0.214,0.356,,,,,,0.656,0.688,0.381,0.782,0.372,0.454,0.253,0.589,0.423,0.0235,0.00868,0.85,,,,,1.25,,0.624,1.00
L2-1/2X2X3/16,L,2.75,0.809,2.50,,,,2,,,,0.1875,,,0.438,0.4375,,0.508,0.754,0.164,0.164,0.318,,,,,,0.511,0.529,0.293,0.790,0.292,0.347,0.195,0.597,0.426,0.0103,0.00382,0.85,,,,,1.26,,0.628,0.980
L2-1/2X1-1/2X1/4,L,3.22,0.938,2.50,,,,1.5,,,,0.25,,,0.500,0.5,,0.372,0.866,0.189,0.189,0.606,,,,,,0.594,0.644,0.364,0.792,0.160,0.261,0.142,0.411,0.321,0.0209,0.00694,1.49,,,,,1.19,,0.354,1.00
L2-1/2X1-1/2X3/16,L,2.47,0.715,2.50,,,,1.5,,,,0.1875,,,0.438,0.4375,,0.347,0.839,0.145,0.145,0.568,,,,,,0.464,0.497,0.280,0.801,0.126,0.198,0.110,0.418,0.324,0.00921,0.00306,1.49,,,,,1.20,,0.360,0.980
L2X2X3/8,L,4.70,1.36,2.00,,,,2,,,,0.375,,,0.625,0.625,,0.632,0.632,0.342,0.342,0.342,,,,,,0.476,0.629,0.348,0.591,0.476,0.628,0.348,0.591,0.386,0.0658,0.0174,,,,,,1.05,0.640,1.00,1.00
L2X2X5/16,L,3.92,1.15,2.00,,,,2,,,,0.3125,,,0.563,0.5625,,0.609,0.609,0.290,0.290,0.290,,,,,,0.414,0.537,0.298,0.598,0.414,0.536,0.298,0.598,0.386,0.0393,0.0106,,,,,,1.06,0.640,1.00,1.00
L2X2X1/4,L,3.19,0.938,2.00,,,,2,,,,0.25,,,0.500,0.5,,0.586,0.586,0.236,0.236,0.236,,,,,,0.346,0.440,0.244,0.605,0.346,0.440,0.244,0.605,0.387,0.0209,0.00572,,,,,,1.08,0.630,1.00,1.00
L2X2X3/16,L,2.44,0.715,2.00,,,,2,,,,0.1875,,,0.438,0.4375,,0.561,0.561,0.180,0.180,0.180,,,,,,0.271,0.338,0.188,0.612,0.271,0.338,0.188,0.612,0.389,0.00921,0.00254,,,,,,1.09,0.630,1.00,1.00
