AISC MANUAL LABEL,TYPE,Weight,Area,Depth,Height,Outer Diameter,bf,B,ID,tw,tf,T,TNOM,TDES,Kdes,Kdet,K1,X,Y,E0,XP,YP,bf/2tf,B_T,h/t,H_T,D_T,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,rz,J,Cw,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
,,lbs,in2,in,in,in,in,in,in,in,in,,in,in,in,in,IN,,,,,,,,,,,in4,in3,in3,in,in4,in3,in3,in,in,in4,in6,,,,,,,,,
W18x192,W,192,56.4,20.4,,,11.5,,,0.960,1.75,,,,2.15,2.4375,1.125,,,,,,3.27,,16.7,,,3870,442,380,8.28,440,119,76.8,2.79,,44.7,38000,,53.6,270,86.0,222,,,,
W18X175,W,175,51.3,20.0,,,11.4,,,0.890,1.59,,,,1.99,2.4375,1.25,,,,,,3.58,,18.0,,,3450,398,344,8.20,391,106,68.8,2.76,,33.8,33300,,52.5,238,76.9,198,,,,
W18X158,W,158,46.3,19.7,,,11.3,,,0.810,1.44,,,,1.84,2.375,1.25,,,,,,3.92,,19.8,,,3060,356,310,8.12,347,94.8,61.4,2.74,,25.2,29000,,51.6,210,69.0,177,,,,
W18X143,W,143,42.1,19.5,,,11.2,,,0.730,1.32,,,,1.72,2.1875,1.1875,,,,,,4.25,,22.0,,,2750,322,282,8.09,311,85.4,55.5,2.72,,19.2,25700,,50.9,188,62.8,160,,,,
W18X130,W,130,38.2,19.3,,,11.2,,,0.670,1.20,,,,1.60,2.0625,1.1875,,,,,,4.65,,23.9,,,2460,290,256,8.03,278,76.7,49.9,2.70,,14.5,22700,,50.7,170,57.2,146,,,,
W18X119,W,119,35.1,19.0,,,11.3,,,0.655,1.06,,,,1.46,1.9375,1.1875,,,,,,5.31,,24.5,,,2190,262,231,7.90,253,69.1,44.9,2.69,,10.6,20300,,50.7,152,50.6,131,,,,
W18X106,W,106,31.1,18.7,,,11.2,,,0.590,0.940,,,,1.34,1.8125,1.125,,,,,,5.96,,27.2,,,1910,230,204,7.84,220,60.5,39.4,2.66,,7.48,17400,,49.7,131,44.3,114,,,,
W18X97,W,97.0,28.5,18.6,,,11.1,,,0.535,0.870,,,,1.27,1.75,1.125,,,,,,6.41,,30.0,,,1750,211,188,7.82,201,55.3,36.1,2.65,,5.86,15800,,49.2,119,40.7,105,,,,
W18X86,W,86.0,25.3,18.4,,,11.1,,,0.480,0.770,,,,1.17,1.625,1.0625,,,,,,7.20,,33.4,,,1530,186,166,7.77,175,48.4,31.6,2.63,,4.10,13600,,48.9,105,36.0,92.4,,,,
W18X76,W,76.0,22.3,18.2,,,11.0,,,0.425,0.680,,,,1.08,1.5625,1.0625,,,,,,8.11,,37.8,,,1330,163,146,7.73,152,42.2,27.6,2.61,,2.83,11700,,48.2,90.1,31.5,80.6,,,,
