Name,Species,Grade,Size,Fb,Ft,Fv,Fc_par,Fc_perp,E
Spruce-Pine-Fir Standard,Spruce-Pine-Fir,Standard,typ,550,275,70,425,1150,1200000
> (5 x 5)  Spruce-Pine-Fir Select Structural,Spruce-Pine-Fir,Select Structural,> (5 x 5) ,1050,700,65,425,800,1300000
> (5 x 5)  Spruce-Pine-Fir  No. 1 ,Spruce-Pine-Fir,No. 1,> (5 x 5) ,850,550,65,425,700,1300000
> (5 x 5) Spruce-Pine-Fir No. 2,Spruce-Pine-Fir,No. 2,> (5 x 5) ,500,325,65,425,500,1000000
Spruce-Pine-Fir (South) Select Structural,Spruce-Pine-Fir (South),Select Structural,typ,1300,575,70,335,1200,1300000
Spruce-Pine-Fir  (South)   No. 1  ,Spruce-Pine-Fir (South),No. 1,typ,875,400,70,335,1050,1200000
Spruce-Pine-Fir  (South)   No. 2 ,Spruce-Pine-Fir (South),No. 2,typ,775,350,70,335,1000,1100000
Spruce-Pine-Fir (South) Construction,Spruce-Pine-Fir (South),Construction,typ,875,400,70,335,1200,1000000
Spruce-Pine-Fir (South) Standard,Spruce-Pine-Fir (South),Standard,typ,500,225,70,335,1000,900000
 > (5 x 5) Spruce-Pine-Fir (South) Select Structural,Spruce-Pine-Fir (South),Select Structural,> (5 x 5) ,1000,650,65,335,700,1200000
> (5 x 5) Spruce-Pine-Fir  (South)  No. 1  ,Spruce-Pine-Fir (South),No. 1,> (5 x 5) ,800,550,65,335,625,1200000
> (5 x 5) Spruce-Pine-Fir  (South)  No. 2 ,Spruce-Pine-Fir (South),No. 2,> (5 x 5) ,475,325,65,335,425,1000000
White Oak Select Structural,White Oak,Select Structural,typ,1200,700,110,800,1100,1000000
White Oak No. 1,White Oak,No. 1,typ,875,500,110,800,900,1000000
White Oak No. 2,White Oak,No. 2,typ,850,500,110,800,700,900000
White Oak Construction,White Oak,Construction,typ,950,550,110,800,925,900000
White Oak Standard,White Oak,Standard,typ,525,325,110,800,725,800000
> (5 x 5) White Oak Select Structural ,White Oak,Select Structural,> (5 x 5) ,1300,875,105,800,950,1000000
> (5 x 5) White Oak No. 1,White Oak,No. 1,> (5 x 5) ,1050,700,105,800,825,1000000
> (5 x 5) White Oak No. 2,White Oak,No. 2,> (5 x 5) ,600,400,105,800,400,800000
Mixed Southern Pine Select Structural,Mixed Southern Pine,Select Structural,typ,2050,1200,100,565,1800,1600000
Mixed Southern Pine No. 1,Mixed Southern Pine,No. 1,typ,1450,875,100,565,1650,1500000
Mixed Southern Pine No. 2,Mixed Southern Pine,No. 2,typ,1300,775,90,565,1650,1400000
Mixed Southern Pine Construction,Mixed Southern Pine,Construction,typ,1000,600,100,565,1700,1300000
Mixed Southern Pine Standard,Mixed Southern Pine,Standard,typ,550,325,90,565,1450,1200000
> (5 x 5) Mixed Southern Pine Select Structural,Mixed Southern Pine,Select Structural,> (5 x 5) ,1500,1000,110,375,950,1500000
> (5 x 5) Mixed Southern Pine No. 1,Mixed Southern Pine,No. 1,> (5 x 5) ,1350,900,110,375,825,1500000
> (5 x 5) Mixed Southern Pine No. 2,Mixed Southern Pine,No. 2,> (5 x 5) ,850,550,100,375,525,1200000
Southern Pine Dense Select Structural,Southern Pine, Dense Select Structural,typ,2050,1100,90,660,1950,1900000
Southern Pine Select Structural,Southern Pine,Select Structural,typ,1900,1050,90,565,1800,1800000
Southern Pine No. 1 Dense,Southern Pine,No. 1 Dense,typ,1350,725,90,660,1700,1800000
Southern Pine No. 1,Southern Pine,No. 1,typ,1250,675,90,565,1600,1700000
Southern Pine No. 2 Dense,Southern Pine,No. 2 Dense,typ,1150,575,90,660,1600,1700000
Southern Pine No. 2,Southern Pine,No. 2,typ,1050,575,90,565,1500,1600000
